"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	15001286	Unreliable
	"Alabama"	"01"	"Other external causes of accidental injury"	"W00-X59"	64	15001286	0.4
	"Alabama"	"01"	"Intentional self-harm"	"X60-X84"	1779	15001286	11.9
	"Alabama"	"01"	"Assault"	"X85-Y09"	1838	15001286	12.3
	"Alabama"	"01"	"Event of undetermined intent"	"Y10-Y34"	31	15001286	0.2
	"Alabama"	"01"	"Legal intervention and operations of war"	"Y35-Y36"	22	15001286	0.1
	"Alaska"	"02"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	2196504	Unreliable
	"Alaska"	"02"	"Other external causes of accidental injury"	"W00-X59"	Suppressed	2196504	Suppressed
	"Alaska"	"02"	"Intentional self-harm"	"X60-X84"	389	2196504	17.7
	"Alaska"	"02"	"Assault"	"X85-Y09"	99	2196504	4.5
	"Alaska"	"02"	"Event of undetermined intent"	"Y10-Y34"	16	2196504	Unreliable
	"Alaska"	"02"	"Legal intervention and operations of war"	"Y35-Y36"	Suppressed	2196504	Suppressed
	"Arizona"	"04"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	21974033	Unreliable
	"Arizona"	"04"	"Other external causes of accidental injury"	"W00-X59"	27	21974033	0.1
	"Arizona"	"04"	"Intentional self-harm"	"X60-X84"	2691	21974033	12.2
	"Arizona"	"04"	"Assault"	"X85-Y09"	1302	21974033	5.9
	"Arizona"	"04"	"Event of undetermined intent"	"Y10-Y34"	55	21974033	0.3
	"Arizona"	"04"	"Legal intervention and operations of war"	"Y35-Y36"	90	21974033	0.4
	"Arkansas"	"05"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	9082304	Unreliable
	"Arkansas"	"05"	"Other external causes of accidental injury"	"W00-X59"	33	9082304	0.4
	"Arkansas"	"05"	"Intentional self-harm"	"X60-X84"	1096	9082304	12.1
	"Arkansas"	"05"	"Assault"	"X85-Y09"	853	9082304	9.4
	"Arkansas"	"05"	"Event of undetermined intent"	"Y10-Y34"	35	9082304	0.4
	"Arkansas"	"05"	"Legal intervention and operations of war"	"Y35-Y36"	20	9082304	0.2
	"California"	"06"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	Suppressed	117843750	Suppressed
	"California"	"06"	"Other external causes of accidental injury"	"W00-X59"	89	117843750	0.1
	"California"	"06"	"Intentional self-harm"	"X60-X84"	4819	117843750	4.1
	"California"	"06"	"Assault"	"X85-Y09"	5270	117843750	4.5
	"California"	"06"	"Event of undetermined intent"	"Y10-Y34"	61	117843750	0.1
	"California"	"06"	"Legal intervention and operations of war"	"Y35-Y36"	276	117843750	0.2
	"Colorado"	"08"	"Provisional assignment of new diseases of uncertain etiology"	"U00-U49"	0	17431857	Unreliable
	"Colorado"	"08"	"Other external causes of accidental injury"	"W00-X59"	23	17431857	0.1
	"Colorado"	"08"	"Intentional self-harm"	"X60-X84"	2090	17431857	12.0
	"Colorado"	"08"	"Assault"	"X85-Y09"	815	17431857	4.7
	"Colorado"	"08"	"Event of undetermined intent"	"Y10-Y34"	19	17431857	Unreliable
	"Colorado"	"08"	"Legal intervention and operations of war"	"Y35-Y36"	75	17431857	0.4
