"Notes"	"Residence State"	"Residence State Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Intentional self-harm"	"X60-X84"	4085	24792342	16.5
	"Alabama"	"01"	"Assault"	"X85-Y09"	3259	24792342	13.1
"Total"	"Alabama"	"01"			7344	24792342	29.6
	"Alaska"	"02"	"Intentional self-harm"	"X60-X84"	1018	3665487	27.8
	"Alaska"	"02"	"Assault"	"X85-Y09"	313	3665487	8.5
"Total"	"Alaska"	"02"			1331	3665487	36.3
	"Arizona"	"04"	"Intentional self-harm"	"X60-X84"	7292	36424396	20.0
	"Arizona"	"04"	"Assault"	"X85-Y09"	2514	36424396	6.9
"Total"	"Arizona"	"04"			9806	36424396	26.9
	"Arkansas"	"05"	"Intentional self-harm"	"X60-X84"	2849	15113933	18.9
	"Arkansas"	"05"	"Assault"	"X85-Y09"	1575	15113933	10.4
"Total"	"Arkansas"	"05"			4424	15113933	29.3
	"California"	"06"	"Intentional self-harm"	"X60-X84"	21510	196913018	10.9
	"California"	"06"	"Assault"	"X85-Y09"	10637	196913018	5.4
"Total"	"California"	"06"			32147	196913018	16.3
	"Colorado"	"08"	"Intentional self-harm"	"X60-X84"	6564	28886157	22.7
	"Colorado"	"08"	"Assault"	"X85-Y09"	1606	28886157	5.6
"Total"	"Colorado"	"08"			8170	28886157	28.3
	"Connecticut"	"09"	"Intentional self-harm"	"X60-X84"	2017	17906152	11.3
	"Connecticut"	"09"	"Assault"	"X85-Y09"	648	17906152	3.6
"Total"	"Connecticut"	"09"			2665	17906152	14.9
	"Delaware"	"10"	"Intentional self-harm"	"X60-X84"	615	4934512	12.5
	"Delaware"	"10"	"Assault"	"X85-Y09"	359	4934512	7.3
"Total"	"Delaware"	"10"			974	4934512	19.7
	"District of Columbia"	"11"	"Intentional self-harm"	"X60-X84"	225	3461120	6.5
	"District of Columbia"	"11"	"Assault"	"X85-Y09"	871	3461120	25.2
"Total"	"District of Columbia"	"11"			1096	3461120	31.7
	"Florida"	"12"	"Intentional self-harm"	"X60-X84"	16947	108072630	15.7
	"Florida"	"12"	"Assault"	"X85-Y09"	7035	108072630	6.5
"Total"	"Florida"	"12"			23982	108072630	22.2
	"Georgia"	"13"	"Intentional self-harm"	"X60-X84"	7941	53446047	14.9
	"Georgia"	"13"	"Assault"	"X85-Y09"	5140	53446047	9.6
"Total"	"Georgia"	"13"			13081	53446047	24.5
	"Hawaii"	"15"	"Intentional self-harm"	"X60-X84"	1032	7126475	14.5
	"Hawaii"	"15"	"Assault"	"X85-Y09"	199	7126475	2.8
"Total"	"Hawaii"	"15"			1231	7126475	17.3
	"Idaho"	"16"	"Intentional self-harm"	"X60-X84"	2032	9170032	22.2
	"Idaho"	"16"	"Assault"	"X85-Y09"	197	9170032	2.1
"Total"	"Idaho"	"16"			2229	9170032	24.3
	"Illinois"	"17"	"Intentional self-harm"	"X60-X84"	7269	63343369	11.5
	"Illinois"	"17"	"Assault"	"X85-Y09"	6072	63343369	9.6
"Total"	"Illinois"	"17"			13341	63343369	21.1
	"Indiana"	"18"	"Intentional self-harm"	"X60-X84"	5355	33791020	15.8
	"Indiana"	"18"	"Assault"	"X85-Y09"	2723	33791020	8.1
"Total"	"Indiana"	"18"			8078	33791020	23.9
	"Iowa"	"19"	"Intentional self-harm"	"X60-X84"	2708	15860934	17.1
	"Iowa"	"19"	"Assault"	"X85-Y09"	449	15860934	2.8
"Total"	"Iowa"	"19"			3157	15860934	19.9
	"Kansas"	"20"	"Intentional self-harm"	"X60-X84"	2766	14607788	18.9
	"Kansas"	"20"	"Assault"	"X85-Y09"	824	14607788	5.6
"Total"	"Kansas"	"20"			3590	14607788	24.6
	"Kentucky"	"21"	"Intentional self-harm"	"X60-X84"	3995	22432114	17.8
	"Kentucky"	"21"	"Assault"	"X85-Y09"	1661	22432114	7.4
"Total"	"Kentucky"	"21"			5656	22432114	25.2
	"Louisiana"	"22"	"Intentional self-harm"	"X60-X84"	3475	23202184	15.0
	"Louisiana"	"22"	"Assault"	"X85-Y09"	3888	23202184	16.8
"Total"	"Louisiana"	"22"			7363	23202184	31.7
	"Maine"	"23"	"Intentional self-harm"	"X60-X84"	1324	6777251	19.5
	"Maine"	"23"	"Assault"	"X85-Y09"	114	6777251	1.7
"Total"	"Maine"	"23"			1438	6777251	21.2
	"Maryland"	"24"	"Intentional self-harm"	"X60-X84"	3120	30474458	10.2
	"Maryland"	"24"	"Assault"	"X85-Y09"	3091	30474458	10.1
"Total"	"Maryland"	"24"			6211	30474458	20.4
	"Massachusetts"	"25"	"Intentional self-harm"	"X60-X84"	3230	34657672	9.3
	"Massachusetts"	"25"	"Assault"	"X85-Y09"	811	34657672	2.3
"Total"	"Massachusetts"	"25"			4041	34657672	11.7
	"Michigan"	"26"	"Intentional self-harm"	"X60-X84"	7450	50050949	14.9
	"Michigan"	"26"	"Assault"	"X85-Y09"	3614	50050949	7.2
"Total"	"Michigan"	"26"			11064	50050949	22.1
	"Minnesota"	"27"	"Intentional self-harm"	"X60-X84"	3990	28322933	14.1
	"Minnesota"	"27"	"Assault"	"X85-Y09"	898	28322933	3.2
"Total"	"Minnesota"	"27"			4888	28322933	17.3
	"Mississippi"	"28"	"Intentional self-harm"	"X60-X84"	2162	14829395	14.6
	"Mississippi"	"28"	"Assault"	"X85-Y09"	2616	14829395	17.6
"Total"	"Mississippi"	"28"			4778	14829395	32.2
	"Missouri"	"29"	"Intentional self-harm"	"X60-X84"	5889	30751802	19.2
	"Missouri"	"29"	"Assault"	"X85-Y09"	3520	30751802	11.4
"Total"	"Missouri"	"29"			9409	30751802	30.6
	"Montana"	"30"	"Intentional self-harm"	"X60-X84"	1532	5420202	28.3
	"Montana"	"30"	"Assault"	"X85-Y09"	246	5420202	4.5
"Total"	"Montana"	"30"			1778	5420202	32.8
	"Nebraska"	"31"	"Intentional self-harm"	"X60-X84"	1457	9728612	15.0
	"Nebraska"	"31"	"Assault"	"X85-Y09"	309	9728612	3.2
"Total"	"Nebraska"	"31"			1766	9728612	18.2
	"Nevada"	"32"	"Intentional self-harm"	"X60-X84"	3289	15540789	21.2
	"Nevada"	"32"	"Assault"	"X85-Y09"	1100	15540789	7.1
"Total"	"Nevada"	"32"			4389	15540789	28.2
	"New Hampshire"	"33"	"Intentional self-harm"	"X60-X84"	1237	6860428	18.0
	"New Hampshire"	"33"	"Assault"	"X85-Y09"	112	6860428	1.6
"Total"	"New Hampshire"	"33"			1349	6860428	19.7
	"New Jersey"	"34"	"Intentional self-harm"	"X60-X84"	3676	45207341	8.1
	"New Jersey"	"34"	"Assault"	"X85-Y09"	1683	45207341	3.7
"Total"	"New Jersey"	"34"			5359	45207341	11.9
